likes,reposts,views,comments,attachments,text,movie,director,year,additional_info,oscar_winner,oscar_nominee,palme_winner,globe_winner,movie_flg,log_likes,log_reposts,log_views,log_comments,reactions,ER,prize,other_award
75,87,17089,0,9,Романтические комедии 📽,,,0,Романтические комедии 📽,0.0,,,,False,4.330733340286331,4.477336814478207,9.746248776109637,0.0,162,0.9479782316109778,,
142,104,40385,6,9,"🌺 Росио Дуркаль в фильме «Кристина Гусман», 1968 🌺",,,1968,"🌺 Росио Дуркаль в фильме «Кристина Гусман»,  🌺",0.0,,,,False,4.962844630259907,4.653960350157523,10.606238469238768,1.9459101490553128,252,0.6239940571994552,,
212,147,23889,2,9,Искусственный интеллект через призму кино 📽,,,0,Искусственный интеллект через призму кино 📽,0.0,,,,False,5.3612921657094255,4.997212273764115,10.081215240319857,1.0986122886681098,361,1.511155762066223,,
98,25,11357,1,9,"🖤 Рита Морено в объективе Лумиса Дина для журнала LIFE, 1954 🖤",,,1954,"🖤 Рита Морено в объективе Лумиса Дина для журнала LIFE,  🖤",0.0,,,,False,4.59511985013459,3.258096538021482,9.337677620437375,0.6931471805599453,124,1.091837633177776,,
15,8,6968,1,1,Кубрик о «Лолите».,,,0,Кубрик о «Лолите».,0.0,,,,False,2.772588722239781,2.19722457733622,8.84922702143852,0.6931471805599453,24,0.3444316877152698,,
140,11,7682,0,1,🥀 Ирина Шейк для 032c 🥀,,,0,🥀 Ирина Шейк для 032c 🥀,0.0,,,,False,4.948759890378168,2.4849066497880004,8.946765374867635,0.0,151,1.9656339494923198,,
101,148,24242,3,9,Несколько фильмов из дневника синефила 📽,,,0,Несколько фильмов из дневника синефила 📽,0.0,,,,False,4.624972813284271,5.003946305945459,10.095883194901557,1.3862943611198906,252,1.0395181915683525,,
153,70,18577,4,9,"🖤 Моника Беллуччи в фильме «Доберман», 1997 🖤",,,1997,"🖤 Моника Беллуччи в фильме «Доберман»,  🖤",0.0,,,,False,5.0369526024136295,4.262679877041316,9.829733363947469,1.6094379124341005,227,1.2219411099746997,,
313,428,41216,6,9,"Девушки, тачки и оружие 📽",,,0,"Девушки, тачки и оружие 📽",0.0,,,,False,5.749392985908253,6.061456918928017,10.626606071592056,1.9459101490553128,747,1.8124029503105592,,
457,87,16342,1,9,🖤 Энн Хэтэуэй в объективе Нормана Жан Роя 🖤,,,0,🖤 Энн Хэтэуэй в объективе Нормана Жан Роя 🖤,0.0,,,,False,6.126869184114185,4.477336814478207,9.701554950093058,0.6931471805599453,545,3.3349651205482806,,
62,30,23634,1,9,"Telegram канал посвященный забытому кино, в котором мы всецело отдаем себя ночи, прошедшим дням и опьяняюще ностальгическим настроениям! 
Рекомендуем к просмотру.

Ссылка в комментариях❤",,,0,"Telegram канал посвященный забытому кино, в котором мы всецело отдаем себя ночи, прошедшим дням и опьяняюще ностальгическим настроениям! Рекомендуем к просмотру.Ссылка в комментариях❤",0.0,,,,False,4.143134726391533,3.4339872044851463,10.070483943227336,0.6931471805599453,93,0.3935008885503935,,
